i	zi	first_occurence	hsk1	hsk2	hsk3	hsk4	hsk5	hsk6	nhsk1	nhsk2	nhsk3	nhsk4	nhsk5	nhsk6	stront1	weeb1
0	我	hsk1	我; 我们						我; 我们					自我	我叫女朋友教我中文。; 我的女朋友让我喝酒。; 她让我帮她搬很重的东西。; 看我的小猫让我很开心。; 看我的妈妈; 让我看起来不错; 她让我别说谎; 对我很好; 药店离我家走路五分钟; 我个人觉得; 我说得不太好; 我昨天作业没写得很好; 她德语比我说得好; 她德语比我说得好得多; 她德语说得比我好; 她德语说得比我好得多; 我有一些饼干，你拿去吧; 莉莎比我爱干净; 即使我学一门很简单的语言，也需要很长时间。; 我不确定; 我睡了; 我不喝酒了。; 我不想再喝酒了。; 我快要生气了; 我快要疯了; 对我来说; 我都喜欢; 跟我抱怨她的工作; 我控制不住地; 至少我是这么认为的; 我很心疼她; 我爸爸去世了，我很心痛; 我走到公司去; 我走到公司来了; 朋友对我说; 向我跑来; 我藏我的钱在床下; 我躲在床下; 我记得有一次...; 我在想...; 我想着...; 我觉着...; 我不学中文了！; 让我想起了; 我们要互相学习，互相帮助。; 让我印象深刻; 吓我一跳; 让我好尴尬; 我的偶像塌房了	xswl; 我就笑笑不说话; 嫉妒使我质壁分离; 众人皆醉我独醒; 我们家; 这位同学，我装逼的时候，请你不要说话; 社会我X哥/姐; 扶我上墙; 世界那么大，我想去看看; 我下面给你吃; 我+可能+; 我能怎么办?; 我不要面子的啊; 放飞自我; 皮皮虾，我们走; 把我炸出来; 别说话，吻我; 这样的。。。给我来一打; 鬼知道我经历了什么; 不装逼我们还是好朋友; 请收下我的膝盖; 厉害了我的哥; 不能我一个人瞎; 放开他,; 我走过最远的路，是你的套路; 这句话我给满分; 我伙呆; 我宣你; 妈妈问我为什么跪著看。。。; 机智如我; 抱紧我; 霸道总裁爱上我; 我想静静; 怪我咯; 我也是醉了
1	们	hsk1	我们			咱们			们; 你们; 他们; 她们; 我们	人们; 它们; 咱们					他们下个星期就要结婚了。; 他们快要/就要结婚了。; 它们有什么一样的地方？; 我们要互相学习，互相帮助。; 在你们行业中	我们家; 乃们; 皮皮虾，我们走; 不装逼我们还是好朋友; 你们感受下
2	你	hsk1	你						你; 你们						你怎么知道...?; 你身边; 你拿一本书来; 我有一些饼干，你拿去吧; 谢谢你的帮助; 你觉得这件事有什么好的地方？; 供你参考; 给你留下了...的印象; 你呀; 你太过分了; 让你退学; 在你们行业中; 你怎么看？; 你觉得呢？; 你的看法是什么？	你国; 愿你出走半生，归来仍是少年; 首先你要有个。。。; 送你上热评; 送你上墙; 这位同学，我装逼的时候，请你不要说话; 不扶墙就服你; 请开始你的表演; 我下面给你吃; 这盛世如你所愿; 你的良心不会痛吗; 你还记得大明湖畔的。。。吗; 你这是在搞事情; 你咋不上天呢; 对方不想和你说话并向你扔了一只狗; 没想到你是这样的。。。; 我走过最远的路，是你的套路; 你行你上，不行别瞎BB; 我宣你; 。。。不是高冷，只是暖的不是你; 你们感受下
3	他	hsk1	他		其他				他; 他们	其他					到他跟前; 对他有礼貌; 他们下个星期就要结婚了。; 他们快要/就要结婚了。; 他已经付钱了。; 在他成名前，他曾以卖艺为生	放开他,
4	她	hsk1	她						她; 她们						她让我帮她搬很重的东西。; 给她买一个包包; 她没做完作业。; 她让我别说谎; 发一张照片给她; 她德语比我说得好; 她德语比我说得好得多; 她德语说得比我好; 她德语说得比我好得多; 跟我抱怨她的工作; 我很心疼她; 送她回家; 接她下班; 为她想; 在她的情况里; 对她耍脾气	
5	这	hsk1	这						这; 这边; 这里; 这儿; 这些	这么; 这时候｜这时; 这样				这就是说	这个房间很黑。; 这样做/; 在这个情况下; 在这张照片里; 这件事很急; 至少我是这么认为的; 你觉得这件事有什么好的地方？; 进这里来; 这次爬山; 这么说太过分了	这是。。。被黑得最惨的一次; 这种男友不分留著过年么; 这位同学，我装逼的时候，请你不要说话; 这届; 这是一道超纲题; 这盛世如你所愿; 还有这种操作; 这样的。。。给我来一打; 干了这碗毒鸡汤; 你这是在搞事情; 没想到你是这样的。。。; 这句话我给满分; 这货
6	那	hsk1	那					刹那	那; 那边; 那里; 那儿; 那些	那; 那会儿; 那么; 那时候｜那时; 那样					那句话的意思; 没那么乱; 再那块儿	世界那么大，我想去看看
7	哪	hsk1	哪; 哪儿				哪怕		哪; 哪里; 哪儿; 哪些			哪怕; 哪			哪儿穿得; 拆哪儿	
8	儿	hsk1	哪儿; 一点儿; 儿子; 女儿		一会儿	儿童	干活儿; 使劲儿; 幼儿园	大伙儿; 墨水儿; 纳闷儿; 纽扣儿; 玩意儿; 馅儿; 心眼儿; 婴儿	儿子; 好玩儿; 没事儿; 面条儿; 哪儿; 那儿; 男孩儿; 女儿; 女孩儿; 玩儿; 小孩儿; 一会儿; 一块儿; 一下儿; 一点儿; 这儿	不一会儿; 干活儿; 画儿; 快点儿; 那会儿; 笑话儿; 一会儿; 有空儿; 有	空儿; 老头儿	儿童; 没法儿; 名牌儿; 模特儿; 味儿; 有劲儿; 幼儿园	差; 大伙儿; 儿女; 个儿; 胡同儿; 小偷儿; 一下儿	待会儿; 儿科; 孤儿; 聊天儿; 少儿	等一会儿; 混血儿; 门儿都没有/; 好好儿; 再那块儿; 哪儿穿得; 稍微有点儿冷; 张个儿; 拆哪儿	反向育儿; 地主家的傻儿子; 蛋妞儿
9	谁	hsk1	谁						谁							谁还不是小公主咋的; 没sei了
10	什	hsk1	什么	为什么					干什么; 没什么; 什么	什么样; 为什么					什么时候？; 它们有什么一样的地方？; 你觉得这件事有什么好的地方？; 你的看法是什么？	鬼知道我经历了什么; 什么仇什么怨; 妈妈问我为什么跪著看。。。; 什么鬼
11	么	hsk1	什么; 怎么; 怎么样	为什么	多么				干什么; 没什么; 什么; 怎么	多么; 那么; 什么样; 为什么; 怎么办; 怎么样; 这么				不怎么; 不怎么样; 要么	你怎么知道...?; 要么...要么...; 什么时候？; 至少我是这么认为的; 它们有什么一样的地方？; 你觉得这件事有什么好的地方？; 没那么乱; 这么说太过分了; 你怎么看？; 你的看法是什么？	这种男友不分留著过年么; 世界那么大，我想去看看; 我能怎么办?; 鬼知道我经历了什么; 什么仇什么怨; 怎么破; 么么哒; 妈妈问我为什么跪著看。。。; 什么鬼
12	少	hsk1	多少; 少			减少; 缺少; 至少	青少年		多少; 少	不少; 青少年; 少数; 少年	缺少; 至少	减少		少儿	至少我是这么认为的; 至少; 少数民族; 少数族裔; 性少数群体	已婚少女; 愿你出走半生，归来仍是少年; 老夫的少女心; 网瘾少女; 少女心; 少一点套路，多一点真诚; 少女心收割机
13	多	hsk1	多少; 多		多么	差不多; 许多	多亏; 多余	多元化; 见多识广	多; 多少	差不多; 大多数; 多; 多久; 多么; 多数; 多云; 好多; 许多		大多; 多次; 多年; 多样; 多种	增多; 众多	多半; 多方面; 多媒体; 绝大多数	她德语比我说得好得多; 她德语说得比我好得多; 小明花钱花得非常多; 小明钱比小李花得多得多; 差不多; 多元	是有多。。。; 不能同意更多; 少一点套路，多一点真诚
14	几	hsk1	几		几乎				几			几乎			几个星期前	
15	怎	hsk1	怎么; 怎么样						怎么	怎么办; 怎么样; 怎样				不怎么; 不怎么样	你怎么知道...?; 你怎么看？	我能怎么办?; 怎么破
16	样	hsk1	怎么样		一样	样子	样式	榜样; 模样; 样品; 照样	一样	那样; 什么样; 同样; 样子; 怎么样; 怎样; 这样		多样	模样	不怎么样; 样; 一模一样; 照样	这样做/; 跟...一样/; 它们有什么一样的地方？	嫁给了爱情的模样; 这样的。。。给我来一打; 没想到你是这样的。。。; 笑得像钟汉良一样
17	一	hsk1	一; 一点儿	第一; 一起; 一下	一定; 一共; 一会儿; 一样; 一般; 一边; 一直	一切	统一; 万一; 一旦; 一致; 一再; 唯一; 一辈子; 一律	不屑一顾; 一流; 一度; 一贯; 一目了然; 一向; 一帆风顺; 一举两得; 一如既往; 一丝不苟	一; 一半; 一会儿; 一块儿; 一下儿; 一样; 一边; 一点儿; 一起; 一些; 有	不一定; 不一会儿; 一部分; 一定; 一共; 一会儿; 一路平安; 一路顺风; 一般; 一点点; 一生; 一直; 有	初; 进一步; 另一方面; 一切; 一方面	统一; 万一; 一律; 一再; 一致; 一般来说; 之一	差; 单一; 唯一; 一流; 一辈子; 一带; 一旦; 一句话; 一路; 一下儿; 一下子; 一向; 一口气; 一身	如一; 同一; 一次性; 一代; 一道; 一贯; 一路上; 一番; 一模一样; 一齐; 一时; 一同; 一行	给她买一个包包; 看完一本书; 一节课; 成为一个医生; 一切皆有可能; 放一首歌/; 放一部电影/; 一张照片; 一张图片; 发一张照片给她; 一年半前; 一般来说; 跟...一样/; 一首歌; 一支笔; 你拿一本书来; 我有一些饼干，你拿去吧; 一双眼睛; 一只眼睛; 一副眼镜; 等一会儿; 即使我学一门很简单的语言，也需要很长时间。; 另一个人; 一件衬衫; 打扫; 王一然; 一个想法; 一直; 在一起; 一群人; 它们有什么一样的地方？; 一棵树; 带一本书到中国去; 妈妈一起床就做早饭; 一...就...; 一场雨; 一场雪; 看一场电影; 一部电影; 一场比赛; 一场考试; 一万; 一辆自行车; 一列火车; 一架飞机; 一楼; 一把伞; 一把刀; 一把椅子; 一把钥匙; 一件衣服; 一件外套; 一条裙子; 一条裤子; 一张桌子; 一篇日记; 一顿饭; 一家人; 一条鱼; 一条蛇; 我记得有一次...; 一台电脑; 一棵植物; 一对情侣; 一对一; 顺便说一下; 假一赔十; 一张纸条; 一个梗; 找到一个方法; 唯一一个; 一切; 每个人都是一个孤独的岛; 一直往前走; 最后一秒; 改良一个产品; 一个湖; 一年四季; 吓我一跳; 一家三口; “双十一”; 稍微等一下; 处理一些事情; 对付一个人; 一般就说; 一旦; 一栋房子; 一套房子; 一台手机; 一幅画	这是。。。被黑得最惨的一次; 一方有难，八方点赞; 定一个小目标; 一丢丢; 配一脸; 一步两步，; 一本正经地胡说八道; 皮一下很开心; 好看的皮囊千篇一律，有趣的灵魂万里挑一; 一本正经地胡说八道; 这是一道超纲题; 了解一下; 每一个抖腿爱好者的心里.; 好看的皮囊千篇一律，有趣的灵魂万里挑一; 头顶一片草原; 做一个精致的猪猪女孩; 这样的。。。给我来一打; 活捉一只; 对方不想和你说话并向你扔了一只狗; 一言不合就。。。; 不能我一个人瞎; 少一点套路，多一点真诚; 节操掉了一地; 一大波僵尸正在接近; 笑得像钟汉良一样
18	二	hsk1	二					二氧化碳	第; 二			二手	二维码		百分之二十; 二十年; 拆二代; 富二代	二哈
19	三	hsk1	三				再三	丢三落四	三			再三		三明治	一家三口; 三文鱼	三石弟弟; 土木三班陈同学; 三连; 三岁
20	四	hsk1	四					丢三落四; 四肢	四				四周	四处	一年四季	四字弟弟
21	五	hsk1	五						五			五颜六色			药店离我家走路五分钟; 五星	自干五; 五毛党
22	六	hsk1	六						六			五颜六色				
23	七	hsk1	七						七							
24	八	hsk1	八						八						八宝汤	一方有难，八方点赞; 一本正经地胡说八道; 一本正经地胡说八道; 气场两米八
25	九	hsk1	九						九							
26	十	hsk1	十			十分		十足	十	十分			十足		百分之二十; 迟到十分钟; 二十年; 假一赔十; “双十一”; 未来的十年	
27	个	hsk1	个		个子		个人; 整个; 个别; 个性	个体	个	个子	个人; 个性; 整个	个别; 个体; 各个; 上个月; 下个月	个儿		给她买一个包包; 这个房间很黑。; 成为一个医生; 我个人觉得; 在这个情况下; 另一个人; 他们下个星期就要结婚了。; 打扫; 一个想法; 不是每个美国人都喜欢吃比萨饼。; 每个美国人都不喜欢吃比萨饼。; 一个梗; 找到一个方法; 唯一一个; 每个人都是一个孤独的岛; 改良一个产品; 一个湖; 几个星期前; 对付一个人; 张个儿	定一个小目标; 首先你要有个。。。; 歪个楼; 每一个抖腿爱好者的心里.; 做一个精致的猪猪女孩; 内个; 不能我一个人瞎
28	岁	hsk1	岁					岁月; 压岁钱	岁				岁月	岁数		三岁
29	本	hsk1	本		笔记本	本来	本科; 本领; 根本; 基本; 本质	版本; 本能; 本钱; 本人; 本身; 本事; 标本; 成本; 剧本; 资本	本; 本子; 课本	笔记本	本来; 本领; 本事; 根本; 基本; 基本上	本科	本人; 成本; 剧本; 资本	本; 本地; 本期; 本身; 本土; 本质	看完一本书; 你拿一本书来; 带一本书到中国去; 基本上; 本地; 版本; 剧本	根本停不下来; 本命; 一本正经地胡说八道; 总攻本攻; 一本正经地胡说八道; 熊本熊; 本宝宝
30	些	hsk1	些						哪些; 那些; 一些; 有; 这些			些			我有一些饼干，你拿去吧; 处理一些事情	
31	块	hsk1	块						块; 一块儿						再那块儿	
32	不	hsk1	不; 不客气; 对不起		不但	不过; 不得不; 不管; 不仅; 差不多; 来不及; 受不了	不断; 不见得; 不耐烦; 不然; 不足; 怪不得; 看不起; 了不起; 忍不住; 舍不得; 不要紧; 不安; 不得了; 不如; 说不定; 要不	爱不释手; 巴不得; 不顾; 不愧; 不料; 不像话; 不屑一顾; 不得已; 不妨; 不敢当; 不禁; 不堪; 不可思议; 不免; 不时; 不惜; 不相上下; 不言而喻; 不由得; 不择手段; 不止; 层出不穷; 川流不息; 大不了; 得不偿失; 供不应求; 恨不得; 刻不容缓; 络绎不绝; 迫不及待; 锲而不舍; 滔滔不绝; 微不足道; 无微不至; 一丝不苟; 有条不紊	不大; 不对; 不客气; 不用; 不; 对不起; 是不是	不错; 不但; 不够; 不过; 不太; 不要; 不好意思; 不久; 不满; 不如; 不少; 不同; 不行; 不一定; 不一会儿; 差不多	不必; 不断; 不论; 不安; 不得不; 不光; 不仅; 能不能	不要紧; 不在乎; 不管; 不然; 看不起; 来不及; 离不开; 了不起; 受不了; 说不定	不顾; 不利; 不耐烦; 不幸; 不易; 不曾; 不得了; 不敢当; 不良; 不免; 不能不; 不时; 不停; 不许; 不止; 不足; 决不; 忍不住; 舍不得; 用不着; 只不过	不便; 不见; 不料; 不再; 不至于; 不成; 不禁; 不仅仅; 不通; 不怎么; 不怎么样; 不值; 从不; 赶不上; 好; 想不到; 要不然; 意想不到	让我看起来不错; 听不懂; 看不懂; 不用; 躺平的韭菜不好割; 不可能; 我说得不太好; 跟...一样/; 差不多; 我不确定; 我不喝酒了。; 我不想再喝酒了。; 我控制不住地; 不是每个美国人都喜欢吃比萨饼。; 每个美国人都不喜欢吃比萨饼。; 我不学中文了！; 不舒服; 心里不舒服; 不安; 不夜城; 穿不出去; 人不可貌相; 人手不足; 不足; 不要脸; 酒香不怕巷子深	根本停不下来; dbq; bhys; 谁还不是小公主咋的; 我就笑笑不说话; 不按套路出牌; 狗粮猝不及防; 不能同意更多; 不转不是中国人; 这种男友不分留著过年么; 这位同学，我装逼的时候，请你不要说话; 不喜勿喷; 意不意外？惊不惊喜？; 建国后不许成精; 这届; 不服憋著; 不服来战; 不扶墙就服你; 活好不粘人; 不可描述之事; 嘴上说不要，身体却很诚实; 我不要面子的啊; 不忘初心; 爱笑的女孩运气不会太差; 你的良心不会痛吗; 不装逼我们还是好朋友; 你咋不上天呢; 好单纯好不做作; 对方不想和你说话并向你扔了一只狗; 一言不合就。。。; 不能我一个人瞎; 欲求不满; 抵挡不住体内的洪荒之力; 不会聊天; 你行你上，不行别瞎BB; 。。。不是高冷，只是暖的不是你; 不忍直视; 累觉不爱; 不要不要; 还能不能愉快地玩耍了; 不作死就不会死
33	没	hsk1	没; 没关系					埋没; 淹没	没; 没关系; 没什么; 没事儿; 没有		没用	没错; 没法儿; 没想到		从没; 没收; 有没有	她没做完作业。; 没有对错; 对...有帮助/; 我昨天作业没写得很好; 还没想好; 门儿都没有/; 没带脑子; 没礼貌; 没那么乱; 没事了; 对。。。有帮助/没帮助; 没效果; 身材没有曲线; 没人管	没眼看; 没节操; 没想到你是这样的。。。; 没sei了; 并没有
34	很	hsk1	很						很					很难说	她让我帮她搬很重的东西。; 看我的小猫让我很开心。; 这个房间很黑。; 对...很失望; 对...很满意; 对...很感兴趣; 对...感到很开心; 对我很好; 觉得很满足; 我昨天作业没写得很好; 莉莎很爱干净; 即使我学一门很简单的语言，也需要很长时间。; 感到很大的压力; 这件事很急; 对自己的能力很自信; 我很心疼她; 我爸爸去世了，我很心痛; 中文很容易学; 白色的衣服很容易脏; 心情很复杂; 能力很差; 很近的地方; 很高的地位; 表情很丰富; 演技很好; 水很深; 颜色很深/; 对...很熟悉; 有很好的关系; 心水很高; 很会过日子; 对。。。感到很开心; 变得很健忘; 忘性很大; 口音很重; 后果很严重	很迷; 皮一下很开心; 嘴上说不要，身体却很诚实; 我能怎么办?
35	太	hsk1	太		太阳		太极拳; 太太	太空	太	不太; 太太; 太阳	老太太		太空	太阳能	我说得不太好; 先生和太太; 犹太会堂; 你太过分了; 这么说太过分了	太阳女神; 爱笑的女孩运气不会太差
36	都	hsk1	都			首都			都		首都		大都; 全都	都市	都...了; 大家都是成年人了，...; 我都喜欢; 不是每个美国人都喜欢吃比萨饼。; 每个美国人都不喜欢吃比萨饼。; 门儿都没有/; 每个人都是一个孤独的岛	每一个抖腿爱好者的心里.; 我伙呆; 都教授
37	点	hsk1	一点儿; 点			地点; 缺点; 特点; 优点; 重点	标点; 点心; 观点	点缀; 焦点; 弱点; 要点; 终点	地点; 点; 一点儿	点头; 观点; 快点儿; 特点; 一点点; 有; 重点	缺点; 优点	点名; 晚点	差; 点燃; 终点	百分点; 焦点; 景点; 起点; 热点; 试点	大众点评app; 谷歌点评; 特点; 早点; 稍微有点儿冷; 点心; 缺点; 标点符号	G点; 一方有难，八方点赞; 全程无尿点; 槽点满满; 点赞之交; 少一点套路，多一点真诚; 笑点
38	和	hsk1	和			暖和	和平	饱和; 附和; 共和国; 和蔼; 和解; 和睦; 和气; 和谐; 缓和; 柔和; 调和; 温和; 总和	和		和平; 暖和		温和	和谐	丈夫和妻子; 先生和太太; 老公和老婆; 未婚夫和未婚妻; 暖和	诗和远方; 对方不想和你说话并向你扔了一只狗; 我伙呆
39	在	hsk1	在; 现在	正在		实在	在乎; 存在; 在于	内在; 在意	现在; 在; 在家; 正在	实在; 实在	存在	不在乎; 在乎; 在于	处在; 内在; 所在; 在场; 在内	自在	在这个情况下; 在这张照片里; 在一起; 在她的情况里; 在街上; 我藏我的钱在床下; 我躲在床下; 我在想...; 在当地时间; 内在美; 外在; 内在; 在你们行业中; 在他成名前，他曾以卖艺为生; 在乎; 住在Airbnb; 存在	正在提刀赶来的路上; 你这是在搞事情; 在线; 一大波僵尸正在接近; 用生命在; 怒刷存在感; 高手在民间
40	的	hsk1	的			目的	的确; 似的		别的; 的; 有的; 真的	的话; 目的	有的是	的确; 似的			我的女朋友让我喝酒。; 她让我帮她搬很重的东西。; 看我的小猫让我很开心。; 看我的妈妈; 那句话的意思; 对...有影响/; 躺平的韭菜不好割; 好的; 欧洲的水电费比美国的要贵; 休闲的衣服; 即使我学一门很简单的语言，也需要很长时间。; 别的事情; 谢谢你的帮助; 感到很大的压力; 混乱的; 跟我抱怨她的工作; 对自己的能力很自信; ...的时候; 至少我是这么认为的; 它们有什么一样的地方？; 你觉得这件事有什么好的地方？; 白色的衣服很容易脏; 工作上的工作; 在她的情况里; 吃的; 很近的地方; 附近的地方; 我藏我的钱在床下; 很高的地位; 白天的时候; 人生的酸甜苦辣; 有规律的生活; 给你留下了...的印象; 开过分的玩笑; 能接受新的想法; 有很好的关系; 每个人都是一个孤独的岛; 对。。。有影响/有好的影响; 希望的灯塔; 好的关系; 当...的时候; 你的看法是什么？; 浪漫的; 未来的十年; 精致的生活; 精致的晚餐; 我的偶像塌房了	这是。。。被黑得最惨的一次; 谁还不是小公主咋的; 一步两步，; 老夫的少女心; 糟了，是心动的感觉; 嫁给了爱情的模样; 好看的皮囊千篇一律，有趣的灵魂万里挑一; 磨人的小妖精; 这位同学，我装逼的时候，请你不要说话; 杠铃般的笑声; 正在提刀赶来的路上; 地主家的傻儿子; 请开始你的表演; 每一个抖腿爱好者的心里.; 好看的皮囊千篇一律，有趣的灵魂万里挑一; 遇见更好的自己; 做一个精致的猪猪女孩; 我+可能+; 我不要面子的啊; 爱笑的女孩运气不会太差; 你的良心不会痛吗; 这样的。。。给我来一打; 你还记得大明湖畔的。。。吗; 请收下我的膝盖; 厉害了我的哥; 行走的荷尔蒙; 没想到你是这样的。。。; 我走过最远的路，是你的套路; 抵挡不住体内的洪荒之力; 。。。不是高冷，只是暖的不是你; 陪伴，是最长情的告白; ; 自己挖的坑，跪著也要填完; 求; 看脸的世界
41	了	hsk1	了		除了; 了解; 为了	受不了	了不起; 不得了	大不了; 一目了然	了		除了; ; 了; 为了	了不起; 了解; 受不了	不得了; 得了; 完了	罢了; 算了	除了; 坏了; 我睡了; 车来了; 他们下个星期就要结婚了。; 他们快要/就要结婚了。; 我不喝酒了。; 我不想再喝酒了。; 已经...了; 都...了; 早就...了; 大家都是成年人了，...; 我快要生气了; 我快要疯了; 为了; 对了; 我爸爸去世了，我很心痛; 我走到公司来了; 吃了睡睡了吃; 我不学中文了！; 让我想起了; 给你留下了...的印象; 算了; 没事了; 他已经付钱了。; 了解; 你太过分了; 过分了; 这么说太过分了; 股票跌了; 玩笑开大了; 我的偶像塌房了	xswl; 脑子瓦特了; 糟了，是心动的感觉; 嫁给了爱情的模样; 大清早亡了; 了解一下; 扎心了，老铁; 厉害了word; 鬼知道我经历了什么; 日了狗; 干了这碗毒鸡汤; 厉害了我的哥; 对方不想和你说话并向你扔了一只狗; 节操掉了一地; 我伙呆; 没sei了; 上辈子拯救了银河系; 我也是醉了; 还能不能愉快地玩耍了
42	吗	hsk1	吗						吗		干吗					你的良心不会痛吗; 你还记得大明湖畔的。。。吗
43	呢	hsk1	呢						呢						你觉得呢？	你咋不上天呢
44	喂	hsk1	喂					喂		喂		喂			喂猫吃猫粮; 喂	
45	家	hsk1	家	大家	国家	家具; 作家	家务; 专家; 家庭; 家乡	家常; 家伙; 家属; 家喻户晓; 人家; 儒家	国家; 回家; 家; 家里; 家人; 在家	大家; 画家; 家; 家庭; 家长; 全家; 作家	搬家; 家具; 家属; 家乡; 专家	家务; 老家; 人家		家电; 家园	药店离我家走路五分钟; 回家; 国家; 大家都是成年人了，...; 搬家; 过朋友家去; 送她回家; 企业家; 一家人; 大家; 艺术家; 音乐家; 家庭教育; 家家户户; 家庭; 家务; 作家; 家乡; 一家三口; 画家; 舞蹈家	人民币玩家; 我们家; 地主家的傻儿子; 佛系玩家; 砖家; 卖家秀; 买家秀; 人生赢家
46	校	hsk1	学校		校长				学校	校园; 校长					校园; 校内; 校外	
47	学	hsk1	学校; 学生; 同学; 学习		留学; 数学	科学; 学期	文学; 学术; 化学; 学历; 学问; 哲学	学说; 学位	大学; 大学生; 放学; 教学楼; 上学; 同学; 小学; 小学生; 学; 学生; 学习; 学校; 学院; 中学; 中学生	家; 教学; 开学; 科学; 留学生; 学期; 中小学	留学; 文学; 学费	奖学金; 学分; 学年; 学时; 学术; 学问; 医学	学科; 学位; 学者	办学; 好学; 入学; 升学; 学会; 学员; 哲学; 自学	上学; 即使我学一门很简单的语言，也需要很长时间。; 学习计划; 中文很容易学; 我不学中文了！; 放学; 虚心学习; 我们要互相学习，互相帮助。; 奖学金; 让你退学	脆皮大学生; 这位同学，我装逼的时候，请你不要说话; 土木三班陈同学; 科学上网
48	饭	hsk1	饭店; 米饭						吃饭; 饭; 饭店; 米饭; 晚饭; 午饭; 早饭	饭馆; 做饭			电饭锅; 盒饭		陪女朋友吃饭; 妈妈一起床就做早饭; 一顿饭	白人饭; 领盒饭; 脱饭; 肉体饭; 白嫖饭; 饭; 饭制; 饭拍; 明明可以靠脸吃饭,; 饭随爱豆
49	店	hsk1	饭店; 商店						饭店; 商店; 书店	店; 酒店; 药店				旅店	药店离我家走路五分钟; 酒店; 药店; 药妆店	
50	商	hsk1	商店			商量	商品; 商务; 经商; 商业	磋商; 商标; 协商; 智商	商场; 商店	商量; 商人	商品; 商业	商务	商标	厂商; 工商; 商城; 协商	商人; 商业; 从商; 商业区	智商税
51	医	hsk1	医院; 医生						医生; 医院	西医; 中医		医疗; 医学		医药	成为一个医生; 兽医	
52	院	hsk1	医院				法院	国务院	电影院; 学院; 医院	出院; 院; 院长; 院子; 住院		法院			后院; 庭院; 养老院	
53	中	hsk1	中国; 中午		中文; 中间	其中	集中; 中介; 中旬; 中心	中断; 中立; 中央	中; 中国; 中间; 中文; 中午; 中学; 中学生	高中; 其中; 心中; 中餐; 中级; 中年; 中小学; 中心; 中医	初中; 当中; 集中; 中部; 中华民族	期中; 途中; 中介; 中奖	从中; 空中; 之中; 中断; 中秋节; 中央; 中药; 中毒	中等; 中华; 中期; 中外	我叫女朋友教我中文。; 中国菜; 高中; 中介; 市中心; 中秋节; 中文很容易学; 带一本书到中国去; 我不学中文了！; 中世纪; 中性; 中美洲; 中东; 在你们行业中	不转不是中国人; 是中国人就转; 中央空调; 中华田园女权; 暗中观察
54	国	hsk1	中国		国家	国际; 国籍	国庆节; 国王	共和国; 国防; 国务院; 祖国	国; 国家; 国外; 外国; 中国	出国; 国际; 回国; 全国	国内; 国庆; 联合国	爱国	国籍; 国民	国产; 国歌; 国会; 国旗; 国王; 祖国	欧洲的水电费比美国的要贵; 中国菜; 国家; 不是每个美国人都喜欢吃比萨饼。; 每个美国人都不喜欢吃比萨饼。; 德国猪肘; 带一本书到中国去; 国旗; 泰国; 民国时期; 出国	国漫; 你国; 不转不是中国人; 是中国人就转; 建国后不许成精; 岛国; 国民老公
55	京	hsk1	北京			京剧			北京		京剧				《北京遇上西雅图》	
56	北	hsk1	北京		北方			北极; 南辕北辙	北; 北边; 北京	北方; 东北; 西北	北部		北极; 南北		《北京遇上西雅图》; 北方人; 东南西北; 北边; 北美洲	逃离北上广
57	上	hsk1	上; 上午	早上; 晚上; 上班	马上; 上网		上当	不相上下; 锦上添花; 上级; 上进; 上任; 上瘾; 上游; 雪上加霜	车上; 地上; 关上; 楼上; 路上; 马上; 上; 上班; 上边; 上车; 上次; 上课; 上网; 上午; 上学; 身上; 晚上; 网上; 早上	上周; 天上; 以上	基本上; 看上去; 上来; 上面; 上去; 上升; 上衣; 实际上; 事实上	穿上; 上个月; 上楼; 上门; 台上	岸上; 加上; 上级; 上下; 上涨; 向上	表面上; 赶不上; 赶上; 上当; 上帝; 上市; 上台; 上演; 一路上; 族	上班; 上学; 理论上说; 《北京遇上西雅图》; 事实上; 下有苏杭，上有天堂; 工作上的工作; 在街上; X以上; 基本上; 上火	上头姐妹; 上头; 陌上人如玉，公子世无双; 史上最。。。; 送你上热评; 送你上墙; 正在提刀赶来的路上; 扶我上墙; 嘴上说不要，身体却很诚实; 逃离北上广; 床上运动; 科学上网; 母上大人; 父上大人; 你咋不上天呢; 你行你上，不行别瞎BB; 上辈子拯救了银河系; 霸道总裁爱上我
58	下	hsk1	下; 下午; 下雨	一下			下载	不相上下; 下属	楼下; 下; 下班; 下边; 下车; 下次; 下课; 下午; 下雨; 一下儿; 坐下	放下; 接下来; 零下; 留下; 下; 下雪; 下周; 以下	底下; 下来; 下面; 下去	地下; 停下; 下个月; 下降; 下楼; 下载	如下; 上下; 剩下; 一下儿; 一下子; 之下	地下室; 天下	零下; 在这个情况下; 他们下个星期就要结婚了。; 下有苏杭，上有天堂; 接她下班; 我藏我的钱在床下; 我躲在床下; 顺便说一下; 给你留下了...的印象; 异人之下; 稍微等一下	根本停不下来; 笑著活下去; 皮一下很开心; 皮下; 了解一下; 我下面给你吃; 请收下我的膝盖; 你们感受下
