围裙	n
国际	adj/n
土猫	n
土著	n/adj
土豪	n
圣木	n
圣经	n
在乎	vb
地图	n
地标	n
地毯	n
坍塌	vb/n
坏处	n
坐牢	vb
坦然	adj/adv
垫子	n
埃及	n
培育	vb
基因	n
基础	n/adj
堕胎	vb/n
堕落	vb/n/adj
塞音	n
墓碑	n
墨鱼	n
复习	vb/n
复制	vb/n
复杂	adj/n/vb
复活	vb/n
夏天	n
外人	n
外在	adj/n
外套	n
外语	n
外貌	n
多元	adj/n
大会	n
大方	adj/adv
大陆	n
天气	n
天津	n
天然	adj
天赋	n
天黑	vb
夫妇	n
失去	vb
头皮	n
夸张	adj/vb
奇妙	adj/n
奇特	adj/n
奇观	n
奖励	n/vb
奴才	n
好坏	adj/n
好处	n
好奇	adj/vb
好客	adj
妥协	vb/n
婚礼	n
子女	n
字体	n
字幕	n
存在	vb/n
存钱	vb
孤独	adj/n
学期	n
学术	n/adj
学渣	n
学霸	n
守旧	adj/vb
安慰	vb/n
安抚	vb/n
安排	vb/n
完整	adj
宗教	n
官方	adj/n
定义	n/vb
定居	vb
实习	n/vb
宠坏	vb
审判	vb/n
审核	vb/n
审美	n/vb
客观	adj/n
宣传	vb/n
室友	n
家乡	n
家人	n
家务	n
家庭	n
家族	n
宾语	n
富人	n
富裕	adj/n
寒假	n
对待	vb
对方	n/pron
对比	vb/n
对称	adj
对象	n
对面	n/adv
寺庙	n
寻求	vb
寿司	n
寿命	n
封闭	adj/vb
将军	n
将来	n/adv
尊重	n/vb
小众	n/adj
小气	adj
小篆	n
小费	n
尝尝	vb
尴尬	adj/n
居民	n
展示	vb/n
山羊	n
山脉	n
山脊	n
山脚	n
山腰	n
山顶	n
岁数	n
崩溃	vb/n
川普	n
巡抚	n
工业	n
工作	n/vb
工具	n
工资	n
巧了	interj/adj
巧合	n
差别	n
已经	adv
市场	n
布置	vb/n
师徒	n
师父	n
希望	n/vb
帖子	n
帝国	n
带头	vb
常见	adj
平台	n
平时	adv
平淡	adj
平静	adj/n/vb
年代	n
年龄	n
幸福	n/adj
幸运	adj/n/vb
广泛	adj/adv
庇护	n/vb
应战	vb
应用	n/vb
应聘	vb
底部	n
庭院	n
延迟	n/vb
建筑	n/vb
建议	n/vb
开会	vb
开发	n/vb
开心	adj/vb
弥补	vb
强令	vb
强奸	vb
当做	vb
当地	adj/n/adv
当成	vb
当时	adv
录取	vb
录音	n/vb
形容	vb
形象	n/vb
影响	n/vb
很烦	adj
律师	n
律法	n
徒步	n/vb
微妙	adj
心态	n
心水	n
必须	adj/vb
忍着	vb
志向	n
忧伤	n/adj
快乐	n/adj
怀孕	vb
怀念	vb
怀疑	n/vb
思维	n/vb
思考	n/vb
性情	n
性格	n
性质	n
恐惧	n/vb
恒星	n
恰好	adv
恶心	adj/n/vb
悲剧	n/adj
情侣	n
情况	n
情绪	n
情节	n
惊讶	adj/vb
愉快	adj
愉悦	adj/vb
意义	n
意外	n/adj
意识	n/vb
感人	adj/vb
感动	vb
感受	n/vb
感应	n/vb
感觉	n/vb
愿意	adj/vb
慢热	adj/vb
成为	vb
成人	n/vb
成熟	adj/vb
成语	n
戒指	n
戒毒	n/vb
战争	n
截图	n/vb
房间	n
所以	conj/adv
所做	n/vb
所在	adj/adv/n
手指	n
手腕	n
手语	n
才华	n
打印	vb/n
打工	vb/n
打折	vb/n
打断	vb
打架	vb/n
打钩	vb
打鼾	vb
扶手	n
批判	vb/n
批评	vb/n
承诺	n/vb
技术	n
抄袭	vb/n
投入	vb/n
投票	vb/n
抗议	vb/n
抚养	vb
抢亲	vb
报告	n/vb
报销	vb
抽样	vb/n
拉伸	vb
拍照	vb
拒绝	vb
招聘	vb/n
拥挤	adj/n
持续	vb/adj
指甲	n
按摩	n/vb
挑水	vb
振动	n/vb
换季	vb
换算	vb
排队	vb/n
探索	vb/n
接受	vb
控制	vb/n
推荐	vb/n
推迟	vb
描述	n/vb
提到	vb
提前	adv
提示	n/vb
提醒	vb
提高	vb
插件	n
插座	n
插队	vb
揣测	vb
搅拌	vb
搞乱	vb
搞混	vb
搞笑	adj/vb
搬到	vb
搭配	vb/n
摆着	vb/adj
撒谎	vb
播客	n
操纵	vb
擦音	vb
支付	vb
支出	n/vb
支票	n
收据	n
收藏	vb/n
改正	vb
放假	vb
放大	vb
放弃	vb
放松	vb
放牛	vb
政客	n
政府	n
政治	n
政策	n
故意	adv/adj/vb
效果	n
敏感	adj/n
教会	n/vb
教堂	n
教授	n/vb
教练	n/vb
教育	n/vb
散漫	adj
数据	n
数数	vb
数量	n
敲字	vb
敲门	vb
整齐	adj
文件	n
文具	n
文学	n
文章	n
料子	n
新手	n
新教	n
新鲜	adj
方向	n
方式	n
方法	n
方言	n
方面	n
旅游	n/vb
旅行	n/vb
旋律	n
无知	adj/n
无聊	adj
既然	conj
日剧	n
日历	n
日料	n
日程	n
日落	n
日食	n
早点	n
时尚	n/adj
时薪	n
明明	adv
明显	adj
春天	n
晒黑	vb
普通	adj/n
暑假	n
暖和	adj
暖气	n
曾经	adv
最近	adv
月薪	n
有趣	adj
服务	n/vb
未来	n
本地	adj/n
机会	n
机考	n
杀手	n
杀死	vb
杂草	n
权利	n
权力	n
村子	n
村庄	n
村里	n
条件	n
来自	vb/pp
枪手	n
某事	n
某人	n
柿子	n
标准	n/adj
标语	n
树根	n
校内	n/adj
校园	n
校外	n/adj
桂花	n
桌子	n
梦到	vb
梳子	n
梵语	n
棕色	n/adj
棘手	adj/n
森林	n
棺材	n
椰枣	n
榨汁	vb/n
樱桃	n
橘猫	n
次要	adj/adv
次货	n
欢迎	vb/adj/n
欣赏	vb/n
欧元	n
欧洲	n
欧盟	n
欧美	n
欺负	vb
正宗	adj/n
正式	adj/adv/n
正念	n/adj
正确	adj/adv
步骤	n
武术	n
歧视	vb/n
残忍	adj/n
残酷	adj/n
比起	prep
毛毯	n
毛衣	n
民主	n/adj
民宿	n
民法	n
气度	n
气氛	n
气球	n
水槽	n
水疗	n
永远	adv
求婚	vb/n
汉族	n
沉浸	vb/n
沙漠	n
沟通	vb/n
沪语	n
法官	n
法庭	n
法律	n
泡沫	n
泡泡	n
泡茶	vb
泡面	vb/n
泥板	n
注册	vb/n
注释	n/vb
泰语	n
活动	n/vb
流利	adj/adv
流星	n
流汗	vb
流血	vb
流行	adj/n/vb
流通	vb/n
测评	n/vb
浙江	n
浴袍	n
海鲈	n
海鲜	n
消失	vb/n
消息	n
消耗	vb/n
消费	vb/n
淡水	n/adj
深刻	adj/vb
清真	adj/n
清蒸	vb
渣男	n
温泉	n
温馨	adj
游客	n
湾区	n
演员	n
潜力	n
澳洲	n
激情	n/adj/vb
火盆	n
火警	n
灵魂	n
灾难	n
炫耀	vb/n
炸弹	n
点心	n
点赞	vb/n
烤箱	n
烦恼	n/vb
烧水	vb
热心	adj/n
热情	adj/n
然而	conj
煤气	n
照顾	vb
熬夜	vb
燃料	n
爆炸	vb/n
爬山	vb
爱好	n/vb
爱情	n
爱玩	adj/vb
版本	n
牌子	n
牡蛎	n
物体	n
物理	n/adj
特征	n
特色	n/adj
特质	n
犯罪	n/vb
状态	n
狩猎	vb/n
独特	adj
独立	adj/n
猜想	vb/n
猥琐	adj
猫粮	n
环境	n
现代	adj/n
现象	n
理性	n/adj
理由	n
理解	vb/n
理论	n
瑜伽	n
生命	n
生存	vb/n
生活	n/vb
生肖	n
生词	n
申请	vb/n
电梯	n
电池	n
画家	n
画画	vb/n
留言	n/vb
疲劳	n/adj
病床	n
症状	n
痕迹	n
痛快	adj/vb
痛苦	n/adj
癌症	n
白塔	n
白菜	n
白领	n
盔甲	n
目标	n/vb
直接	adj/adv
直播	n/vb
直男	n
直觉	n
相信	vb
相反	adj/adv
相处	vb
相爱	vb
看法	n
真正	adj/adv
真诚	adj/adv/n
眼中	n
眼影	n
睡衣	n
睫毛	n
瞎扯	vb
瞎说	vb
矛盾	n/adj
知识	n
石头	n
破产	n/vb
破案	vb
破解	vb
硅谷	n
硕士	n
确实	adj/adv
碰见	vb
磨砂	n/adj
礼堂	n
社会	n
社区	n
祈祷	vb
祖传	adj
祖先	n
祖宗	n
祝福	n/vb
神殿	n
神经	n
离婚	n/vb
秋天	n
种族	n
科目	n
秘书	n
积累	vb/n
移民	n/vb
稳定	adj/n/vb
穷人	n
空调	n
窗帘	n
立体	adj
立法	n/vb
竞争	n/vb
笑话	n/vb
笔名	n
笔试	n/vb
符号	n
笼子	n
答案	n
签证	n
算了	vb
算是	vb
籍贯	n
类似	adj/adv
类型	n
粉末	n
粗鲁	adj
粘贴	vb/n
粤菜	n
精神	n/adj
精致	adj
系统	n
素质	n
素食	n
纠正	vb
约会	n/vb
纯律	n
纳粹	n
纽约	n
线下	n/adj/adv
细胞	n
细致	adj/adv
经历	n/vb
经商	vb
经济	n/adj
经验	n
结果	n/vb
结账	vb
绝对	adj/adv
绦虫	n
绩点	n
绵羊	n
编剧	n/vb
编程	vb/n
缩写	n/vb
缺点	n
罐头	n
网络	n
罗锅	n/adj
羊毛	n
羊绒	n
美食	n
羞愧	n/adj/vb
群体	n
翻译	n/vb
老实	adj/adv
老总	n
老鼠	n
考验	n/vb
而且	conj
而是	conj
耳机	n
职业	n/adj
联系	n/vb
肌肉	n
肌酸	n
股票	n
胡同	n
能力	n
能量	n
脆弱	adj/n
脊柱	n
脚趾	n
脚面	n
脱欧	n/vb
腐烂	vb/adj
自信	n/adj/vb
自律	n/adj/vb
自然	n/adj/adv
自由	n/adj/adv
至少	adv
艺术	n
节目	n
花生	n
花钱	vb
芹菜	n
苍蝇	n
荆棘	n
草原	n
草地	n
荒凉	adj/n
荒郊	n
药店	n
药物	n
莫言	n/vb
菜花	n
萝卜	n
营养	n/adj
营造	vb
著名	adj
葫芦	n
葬礼	n
蓝领	n/adj
藏族	n
藏语	n
藐视	vb/n
虎妈	n
虚伪	adj/n
虚假	adj/n
虚弱	adj
虽然	conj
蚊子	n
蜘蛛	n
蜻蜓	n
蝴蝶	n
蟑螂	n
行业	n
行为	n/vb
行星	n
街区	n
表亲	n
表情	n
表格	n
表演	n/vb
表现	n/vb
表示	vb
表达	vb
裁员	n/vb
装修	n/vb
西岸	n
西式	adj
西方	n/adj
西藏	n
要求	n/vb
观光	n/vb
观察	n/vb
观点	n
规则	n
规律	n
视角	n
视频	n
觉悟	n
觉醒	n/vb
角度	n
角色	n
解决	vb
解开	vb
解聘	vb
解读	vb
解释	vb
警告	n/vb
计划	n/vb
计算	n/vb
订婚	n/vb
订阅	n/vb
认同	n/vb
讨厌	vb
讨好	vb
讨论	n/vb
训练	n/vb
训诫	n/vb
记住	vb
