我	I
副	secondary
终	end
种	seed
重	heavy
末	end
周	circuit
主	owner
注	annotate
自	self
己	self
总	general
嘴	mouth
业	occupation
排	arrange
全	all
按	press
之	him
棒	strong
保	to protect
证	certificate
抱	hold
歉	apologize
倍	-fold
笨	stupid
毕	to finish
遍	everywhere
标	mark
格	frame
示	show
演	to perform
扬	raise
饼	cake
并	and
博	ample
士	scholar
管	control
仅	only
部	department
擦	rub
猜	guess
材	material
观	observe
厅	hall
餐	meal
尝	taste
江	river
厕	restroom
功	achievement
诚	sincere
乘	ride
惊	startle
抽	draw
烟	smoke
厨	kitchen
传	transmit
户	household
窗	window
粗	coarse
存	exist
误	mistake
案	case
招	to recruit
呼	to call
扮	disguise
扰	disturb
印	print
折	to break
针	needle
概	general
使	cause
约	approximately
戴	put on
刀	knife
导	lead
倒	to fall
处	reside
底	bottom
牌	playing card
登	ascend
低	low
址	site
掉	fall
丢	lose
堵	block
肚	belly
童	child
展	spread
律	law
翻	turn over
译	to translate
烦	vexed
恼	angry
反	contrary
弃	abandon
暑	heat
松	pine
份	gift
丰	luxuriant
富	rich
否	negate
则	standard
符	symbol
合	join
付	to pay
款	funds
亲	relative
父	father
杂	mixed
负	bear
责	responsibility
改	change
赶	hurry
敢	dare
速	fast
膊	shoulder
胳	armpit
各	each
资	resources
够	enough
购	buy
估	to estimate
计	calculate
鼓	drum
励	encourage
挂	to hang
键	key
众	crowd
光	light
广	wide
播	sow
逛	stroll
规	rule
际	border
籍	registry
汁	juice
程	rule
海	ocean
洋	foreign
羞	shy
寒	cold
汗	perspiration
航	navigate
码	number
适	fit
盒	small box
厚	thick
悔	regret
联	unite
互	mutual
疑	doubt
怀	bosom
忆	recollect
活	live
泼	splash
获	obtain
基	base
础	foundation
激	arouse
积	accumulate
及	and
即	prompt
寄	send
划	row
既	already
技	skill
术	technique
续	continue
继	continue
具	tool
油	oil
价	price
坚	strong
持	to hold
肥	fat
减	decrease
建	establish
将	will
奖	prize
金	gold
降	descend
落	fall
交	hand over
流	flow
通	through
区	area
郊	suburbs
骄	proud
傲	proud
饺	dumplings
授	teach
受	to receive
释	release
尽	exhaust
紧	tight
止	stop
禁	prohibit
彩	color
精	essence
济	aid
验	examine
剧	theatrical
警	alert
察	examine
景	scenery
竟	unexpectedly
争	strive
竞	compete
镜	mirror
究	investigate
举	lift
绝	extinct
拒	resist
距	distance
聚	assemble
虑	consider
鸭	duck
烤	roast
棵	classifier for trees
科	branch
咳	cough
嗽	cough
怜	pity
