116	穴	xué	Cave	穷 究 空 穿 突
117	立	lì	Stand	站 竞 章 竖 端
118	竹 ⺮ ケ	zhú	Bamboo	笑 笛 第 竿 等
119	米	mǐ	Rice	粮 类 粉 粤 籽
120	糸 纟	sī	Silk	红 纪 组 系 紧
121	缶	fǒu	Jar	缺 缸 罂
122	网 罒 罓	wǎng	Net	罗 罚 罢 罪
123	羊 ⺶ ⺷	yáng	Sheep	美 着 羞 群 羚
124	羽	yǔ	Feather	翠 翁 耀 翔
125	老 耂	lǎo	Old	者 耄 者 考
126	而	ér	And	耍 耐
127	耒	lěi	Plaw	耔 耗 耕 耘
128	耳	ěr	Ear	聊 聆 聒 联 耿
129	聿	yù	Brush	肃 肆 肄 肇
130	肉 月	ròu	Meat	肖 肘 肚 腐
131	臣	chén	Minister	卧 藏
132	自	zì	Oneself	臬 臭
133	至	zhì	Arrive	致 臻
134	臼	jiù	Mortar	臾 舀 舂
135	舌	shé	Tongue	舍 舐 舔
136	舛	chuǎn	Contrary	舜
137	舟	zhōu	Boat	航 船 般 舱 舫
138	艮	gèn	Mountain	良 艰 根 跟
139	色	sè	Color	艳
140	艹	cǎo	Grass	花 菜 茶 茬 草
141	虍	hū	Stripes on a tiger	虏 虎 虐 虔 虑
142	虫	chóng	Insect	蛇 蚊 蛋 蚤 蚀
143	血	xuè	Blood	恤 衅
144	行	xíng	Walk	衍 衔 街
145	衣 衤	yī	Clothes	表 袋 袓 衷 袄
146	覀	yà	Cover	要 覆 覃
147	见	jiàn	See	观 规 觉 览
148	角	jiǎo	Horn	解 触
149	讠	yán	Speech	计 讨 记 讲 识
150	谷	gǔ	Valley	豁
151	豆	dòu	Bean	豌 豉
152	豕	shǐ	Pig	豚 豪 象
153	豸	zhì	Legless insect	豹 豺 貌
154	贝	bèi	Shell	贞 负 贡 责 财
155	赤	chì	Red	赦 赫
156	走	zǒu	Walk	赶 起 超 越
157	足	zú	Foot	跃 跑 路 跳
158	身	shēn	Body	躬 躺 躲
159	车	chē	Cart	轧 轨 软 轮 轻
