阿姨	/maternal aunt/step-mother/childcare worker/nursemaid/woman of similar age to one's parents (term of address used by child)/CL:個|个[ge4]/
啊	/modal particle ending sentence, showing affirmation, approval, or consent/
矮	/low/short (in length)/
爱好	/to like; to be fond of; to take pleasure in; to be keen on/interest; hobby/CL:個|个[ge4]/
安静	/quiet/peaceful/calm/
把	/handle/
班	/team; class; grade/(military) squad/work shift/CL:個|个[ge4]/classifier for groups of people and scheduled transport vehicles/
搬	/to move (i.e. relocate oneself)/to move (sth relatively heavy or bulky)/to shift/to copy indiscriminately/
半	/half/semi-/incomplete/(after a number) and a half/
办法	/means/method/way (of doing sth)/CL:條|条[tiao2],個|个[ge4]/
办公室	/office/business premises/bureau/CL:間|间[jian1]/
帮忙	/to help/to lend a hand/to do a favor/to do a good turn/
包	/to cover/to wrap/to hold/to include/to take charge of/to contract (to or for)/package/wrapper/container/bag/to hold or embrace/bundle/packet/CL:個|个[ge4],隻|只[zhi1]/
饱	/to eat till full/satisfied/
北方	/north/the northern part a country/China north of the Yellow River/
被	/quilt/to cover (with)/(literary) to suffer (a misfortune)/used to indicate passive voice (placed before the doer of the action like "by" in English passive-voice sentences, or, if the doer is not mentioned, before the verb)/(since c. 2009) (sarcastic or jocular) used to indicate that the following word should be regarded as being in air quotes (as in 被旅遊|被旅游[bei4 lu:3 you2] to "go on a trip", for example)/
鼻子	/nose/CL:個|个[ge4],隻|只[zhi1]/
比较	/to compare/to contrast/comparatively/relatively/quite/comparison/
比赛	/competition (sports etc)/match/CL:場|场[chang3],次[ci4]/to compete/
笔记本	/notebook (stationery)/CL:本[ben3]/notebook (computing)/
必须	/to have to/must/compulsory/necessarily/
变化	/(intransitive) to change; to vary/change; variation/CL:個|个[ge4]/
别人	/other people; others; other person/
冰箱	/refrigerator/(old) icebox/
菜单	/menu/CL:份[fen4],張|张[zhang1]/
参加	/to participate/to take part/to join/
草	/variant of 肏[cao4]/
层	/to pile on top of one another/layer; stratum/floor (of a building); story/(math.) sheaf/classifier for layers/
差	/used in 參差|参差[cen1 ci1]/
超市	/supermarket (abbr. for 超級市場|超级市场[chao1 ji2 shi4 chang3])/CL:家[jia1]/
衬衫	/shirt/blouse/CL:件[jian4]/
成绩	/achievement/performance records/grades/CL:項|项[xiang4],個|个[ge4]/
城市	/city; town/CL:座[zuo4]/
迟到	/to arrive late/
除了	/besides/apart from (... also...)/in addition to/except (for)/
船	/boat/vessel/ship/CL:條|条[tiao2],艘[sou1],隻|只[zhi1]/
