唉	/alas/oh dear/
形状	/form; shape/CL:個|个[ge4]/
幸运	/fortunate/lucky/fortune/luck/
兄弟	/brothers/younger brother/CL:個|个[ge4]/I, me (humble term used by men in public speech)/brotherly/fraternal/
虚心	/open-minded/humble/
宣布	/to declare/to announce/to proclaim/
学术	/learning/science/academic/CL:個|个[ge4]/
询问	/to inquire/
训练	/to train/to drill/training/CL:個|个[ge4]/
押金	/deposit/down payment/
牙齿	/tooth/dental/CL:顆|颗[ke1]/
宴会	/banquet/feast/dinner party/CL:席[xi2],個|个[ge4]/
痒	/to itch/to tickle/
样式	/type/style/
腰	/waist/lower back/pocket/middle/loins/
咬	/variant of 咬[yao3]/
夜	/night/
业余	/in one's spare time/outside working hours/amateur (historian etc)/
依然	/still; as before/
一旦	/in case (sth happens)/if/once (sth happens, then...)/when/in a short time/in one day/
一致	/consistent; unanimous; in agreement/together; in unison/
一再	/repeatedly/
移民	/to immigrate/to migrate/emigrant/immigrant/
疑问	/question/interrogation/doubt/
以来	/since (a previous event)/
意外	/unexpected/accident/mishap/CL:個|个[ge4]/
议论	/to comment/to talk about/to discuss/discussion/CL:個|个[ge4]/
义务	/duty; obligation (CL:項|项[xiang4])/volunteer (work etc)/
因素	/element/factor/CL:個|个[ge4]/
英俊	/handsome/
营养	/nutrition/nourishment/CL:種|种[zhong3]/
硬	/hard; stiff; solid/(fig.) strong; firm/resolutely; uncompromisingly/laboriously; with great difficulty/good (quality); able (person)/(of food) filling; substantial/
应付	/to deal with; to cope/
应用	/to put to use; to apply/practical; applied (science, linguistics etc)/application; practical use/(computing) app/
拥挤	/crowded/to throng/congestion/
勇气	/courage/valor/
用功	/diligent/industrious (in one's studies)/to study hard/to make great effort/
优惠	/privilege/favorable (terms)/preferential (treatment)/discount (price)/
优势	/superiority/dominance/advantage/
悠久	/long (tradition, history etc)/
油炸	/to deep fry/
有利	/advantageous; favorable/
娱乐	/to entertain/to amuse/entertainment/recreation/amusement/hobby/fun/joy/
预报	/forecast/
预防	/to prevent/to take precautions against/to protect/to guard against/precautionary/prophylactic/
圆	/circle/round/circular/spherical/(of the moon) full/unit of Chinese currency (yuan)/tactful/to make consistent and whole (the narrative of a dream or a lie)/
元旦	/New Year's Day/
员工	/staff; personnel; employee/
愿望	/desire/wish/
晕	/dizzy/halo/ring around moon or sun/
运气	/luck (good or bad)/
运用	/to use/to put to use/
灾害	/calamity/disaster/CL:個|个[ge4]/
在乎	/to rest with; to lie in; to be due to (a certain attribute)/(often used in the negative) to care about/
再三	/over and over again/again and again/
赞成	/to approve/to endorse/(literary) to assist/
糟糕	/too bad/how terrible/what bad luck/terrible/bad/
造成	/to bring about; to create; to cause/
责备	/to blame/to criticize/condemnation/reproach/
窄	/narrow/narrow-minded/badly off/
展开	/to unfold; to spread out; to open up/to launch; to carry out/
掌握	/to grasp (often fig.)/to control/to seize (initiative, opportunity, destiny)/to master/to know well/to understand sth well and know how to use it/fluency/
账户	/bank account/online account/
珍惜	/to treasure/to value/to cherish/
阵	/disposition of troops/wave/spate/burst/spell/short period of time/classifier for events or states of short duration/
睁	/to open (one's eyes)/
争取	/to fight for/to strive for/to win over/
整个	/whole/entire/total/
整齐	/orderly/neat/even/tidy/
正	/straight/upright/proper/main/principal/to correct/to rectify/exactly/just (at that time)/right (in that place)/(math.) positive/
政府	/government/CL:個|个[ge4]/
证件	/certificate; papers; credentials; document; ID/
支	/to support/to sustain/to erect/to raise/branch/division/to draw money/classifier for rods such as pens and guns, for army divisions and for songs or compositions/
支票	/check (bank)/cheque/CL:本[ben3]/
指导	/to guide/to give directions/to direct/to coach/guidance/tuition/CL:個|个[ge4]/
制定	/to draw up; to formulate/
制造	/to manufacture; to make/
智慧	/wisdom; intelligence/
秩序	/order (orderly)/order (sequence)/social order/the state (of society)/CL:個|个[ge4]/
中介	/to act as intermediary/to link/intermediate/inter-/agency/agent/
中旬	/middle third of a month/
周到	/thoughtful/considerate/attentive/thorough/also pr. [zhou1 dao5]/
逐步	/progressively/step by step/
竹子	/bamboo/CL:棵[ke1],支[zhi1],根[gen1]/
主持	/to take charge of/to manage or direct/to preside over/to uphold/to stand for (justice etc)/to host (a TV or radio program etc)/(TV) anchor/
主观	/subjective/
主题	/theme/subject/
主任	/director/head/CL:個|个[ge4]/
抓	/to grab/to catch/to arrest/to snatch/to scratch/
专家	/expert; specialist/
专心	/to focus one's attention; to concentrate on (doing sth)/
转告	/to pass on/to communicate/to transmit/
装	/adornment/to adorn/dress/clothing/costume (of an actor in a play)/to play a role/to pretend/to install/to fix/to wrap (sth in a bag)/to load/to pack/
装修	/to decorate/interior decoration/to fit up/to renovate/
状况	/condition; state; situation/CL:個|个[ge4]/
追	/to chase/to pursue/to look into/to investigate/to reminisce/to recall/to court (one's beloved)/to binge-watch (a TV drama)/retroactively/posthumously/
资格	/qualifications/seniority/
资料	/material/resources/data/information/profile (Internet)/CL:份[fen4],個|个[ge4]/
姿势	/posture/position/
紫	/purple/violet/
字幕	/caption/subtitle/
自动	/automatic/voluntarily/
自由	/freedom; liberty/free; unrestricted/CL:種|种[zhong3]/
综合	/comprehensive/composite/synthesized/mixed/to sum up/to integrate/to synthesize/
总共	/altogether; in sum; in all; in total/
总理	/premier/prime minister/CL:個|个[ge4],位[wei4],名[ming2]/
总算	/at long last/finally/on the whole/
总之	/in a word/in short/in brief/
组成	/to form/to make up/to constitute/
组织	/to organize/organization/(biology) tissue/(textiles) weave/CL:個|个[ge4]/
作文	/to write an essay/composition (student essay)/CL:篇[pian1]/
哎	/hey!/(interjection used to attract attention or to express surprise or disapprobation)/
爱护	/to cherish/to treasure/to take care of/to love and protect/
爱惜	/to cherish/to treasure/to use sparingly/
安装	/to install/to erect/to fix/to mount/installation/
暗	/(literary) to close (a door)/to eclipse/confused; ignorant (variant of 暗[an4])/dark (variant of 暗[an4])/
把握	/to grasp (also fig.)/to seize/to hold/assurance/certainty/sure (of the outcome)/
摆	/to arrange/to exhibit/to move to and fro/a pendulum/
办理	/to handle; to transact; to conduct/
傍晚	/in the evening/when night falls/towards evening/at night fall/at dusk/
包裹	/to wrap up/to bind up/bundle/parcel/package/CL:個|个[ge4]/
包括	/to comprise/to include/to involve/to incorporate/to consist of/
薄	/see 薄荷[bo4 he5]/
宝贝	/treasured object/treasure/darling/baby/cowry/good-for-nothing or queer character/
保持	/to keep/to maintain/to hold/to preserve/
保险	/insurance/to insure/safe/secure/be sure/be bound to/CL:份[fen4]/
抱怨	/to complain/to grumble/to harbor a complaint/to feel dissatisfied/
报道	/to report (news)/report/CL:篇[pian1],份[fen4]/
报社	/newspaper (i.e. a company)/CL:家[jia1]/
背	/the back of a body or object/to turn one's back/to hide something from/to learn by heart/to recite from memory/unlucky (slang)/hard of hearing/
本质	/essence/nature/innate character/intrinsic quality/
彼此	/each other; one another/
毕竟	/after all/all in all/when all is said and done/in the final analysis/
避免	/to avert/to prevent/to avoid/to refrain from/
编辑	/to edit/to compile/editor/compiler/
便	/used in 便宜|便宜[pian2 yi5]/used in 便便[pian2 pian2]/used in 便嬛[pian2 xuan1]/
标点	/punctuation/a punctuation mark/to punctuate/CL:個|个[ge4]/
表明	/to make clear/to make known/to state clearly/to indicate/known/
病毒	/virus/
播放	/to broadcast; to transmit (by radio or TV)/
脖子	/neck/CL:個|个[ge4]/
不要紧	/unimportant/not serious/it doesn't matter/never mind/it looks all right, but/
布	/cloth/to declare/to announce/to spread/to make known/
不安	/unpeaceful/unstable/uneasy/disturbed/restless/worried/
不得了	/desperately serious/disastrous/extremely/exceedingly/
不如	/not equal to; not as good as; inferior to/it would be better to/
步骤	/procedure/step/
采访	/to interview/to gather news/to hunt for and collect/to cover/
彩虹	/rainbow/CL:道[dao4]/
参与	/to participate (in sth)/
惭愧	/ashamed/
操心	/to worry about/
册	/book/booklet/classifier for books/
测验	/test/to test/CL:次[ci4],個|个[ge4]/
曾经	/once/already/former/previously/ever/(past tense marker used before verb or clause)/
差距	/disparity/gap/
产品	/goods/merchandise/product/CL:個|个[ge4]/
长途	/long distance/
抄	/to make a copy/to plagiarize/to search and seize/to raid/to grab/to go off with/to take a shortcut/to make a turning move/to fold one's arms/
超级	/super-/ultra-/hyper-/
朝	/morning/
炒	/to sauté; to stir-fry/to speculate (in real estate etc); to scalp/to hype up/to sack; to fire (sb)/
吵架	/to quarrel/to have a row/quarrel/CL:頓|顿[dun4]/
车厢	/carriage/CL:節|节[jie2]/
沉默	/taciturn/uncommunicative/silent/
称呼	/to call; to address as/form of address; appellation/
承认	/to admit/to concede/to recognize/recognition (diplomatic, artistic etc)/to acknowledge/
程度	/degree; level; extent/
成分	/composition; ingredient; element; component/one's social status/CL:個|个[ge4]/
成果	/result/achievement/gain/profit/CL:個|个[ge4]/
成就	/accomplishment/success/achievement/CL:個|个[ge4]/to achieve (a result)/to create/to bring about/
成熟	/mature; ripe/to mature; to ripen/Taiwan pr. [cheng2 shou2]/
成长	/to mature/to grow/growth/
吃亏	/to suffer losses/to come to grief/to lose out/to get the worst of it/to be at a disadvantage/unfortunately/
迟早	/sooner or later/
池塘	/pool/pond/
翅膀	/wing/CL:個|个[ge4],對|对[dui4]/
充电器	/battery charger/
充满	/full of/brimming with/very full/permeated/
抽屉	/drawer/
臭	/sense of smell/smell bad/
出版	/to publish/
出色	/remarkable; outstanding/
初级	/junior/primary/
传播	/to disseminate; to propagate; to spread/
传说	/legend; folk tale/to repeat from mouth to mouth; they say that.../
窗帘	/window curtains/
创造	/to create/to bring about/to produce/to set (a record)/
词汇	/vocabulary/list of words (e.g. for language teaching purposes)/word/
辞职	/to resign/
刺激	/to provoke; to irritate; to upset; to stimulate; to excite/irritant/
从此	/from now on/since then/henceforth/
从事	/to go for/to engage in/to undertake/to deal with/to handle/to do/
促进	/to promote (an idea or cause); to advance; boost/
催	/to urge/to press/to prompt/to rush sb/to hasten sth/to expedite/
存在	/to exist/to be/existence/
答应	/to answer; to respond/to answer positively; to agree; to accept; to promise/
达到	/to reach; to achieve; to attain/
打交道	/to come into contact with/to have dealings/
打喷嚏	/to sneeze/
打听	/to ask about/to make some inquiries/to ask around/
大方	/generous/magnanimous/stylish/in good taste/easy-mannered/natural and relaxed/
大型	/large/large-scale/
呆	/foolish/stupid/expressionless/blank/to stay/
代替	/to replace; to take the place of/
贷款	/a loan/CL:筆|笔[bi3]/to provide a loan (e.g. bank)/to raise a loan (from e.g. a bank)/
单纯	/simple/pure/unsophisticated/merely/purely/
单独	/alone/by oneself/on one's own/
单元	/unit (forming an entity)/element/(in a residential building) entrance or staircase/
胆小鬼	/coward/
当地	/local/
当心	/to take care/to look out/
挡	/variant of 擋|挡[dang3]/
岛屿	/island/
导演	/to direct/director (film etc)/
导致	/to lead to; to create; to cause; to bring about/
到达	/to reach; to arrive/
道德	/virtue/morality/ethics/CL:種|种[zhong3]/
等待	/to wait; to wait for/
的确	/really/indeed/
地道	/authentic/genuine/proper/
地理	/geography/
地区	/local/regional/district (not necessarily formal administrative unit)/region/area/as suffix to city name, means prefecture or county (area administered by a prefecture-level city or, county-level city)/CL:個|个[ge4]/
地位	/position/status/place/CL:個|个[ge4]/
点心	/light refreshments/pastry/dim sum (in Cantonese cooking)/dessert/
电台	/transmitter-receiver/broadcasting station/radio station/CL:個|个[ge4],家[jia1]/
钓	/to fish with a hook and bait/
洞	/cave/hole/zero (unambiguous spoken form when spelling out numbers)/CL:個|个[ge4]/
豆腐	/tofu/bean curd/
独立	/independent/independence/to stand alone/
断	/to break/to snap/to cut off/to give up or abstain from sth/to judge/(usu. used in the negative) absolutely/definitely/decidedly/
堆	/to pile up/to heap up/a mass/pile/heap/stack/large amount/
对方	/the other person; the other side; the other party/
对象	/target; object/partner; boyfriend; girlfriend/CL:個|个[ge4]/
兑换	/to convert/to exchange/
蹲	/to crouch/to squat/to stay (somewhere)/
多余	/superfluous/unnecessary/surplus/
躲藏	/to conceal oneself/to go into hiding/to take cover/
恶劣	/vile/nasty/of very poor quality/
耳环	/earring/CL:隻|只[zhi1],對|对[dui4]/
发愁	/to worry/to fret/to be anxious/to become sad/
发抖	/to tremble/to shake/to shiver/
发明	/to invent/an invention/CL:個|个[ge4]/
翻	/variant of 翻[fan1]/
反复	/repeatedly/over and over/to upend/unstable/to come and go/(of an illness) to return/
反映	/to mirror/to reflect/mirror image/reflection/(fig.) to report/to make known/to render/
方	/square/power or involution (math.)/upright/honest/fair and square/direction/side/party (to a contract, dispute etc)/place/method/prescription (medicine)/just when/only or just/classifier for square things/abbr. for square or cubic meter/
仿佛	/to seem/as if/alike/similar/
非	/to not be; not/wrong; incorrect/non-; un-; in-; de-/to reproach; to blame/(coll.) to insist on; simply must/
废话	/nonsense; rubbish; superfluous words/You don't say!; No kidding! (gently sarcastic)/
分别	/to part; to leave each other/to distinguish; to tell apart/difference; distinction/in different ways; differently/separately; individually/
分配	/to distribute/to assign/to allocate/to partition (a hard drive)/
分析	/to analyze/analysis/CL:個|个[ge4]/
纷纷	/one after another/in succession/one by one/continuously/diverse/in profusion/numerous and confused/pell-mell/
奋斗	/to strive; to struggle/
风格	/style/
风俗	/social custom/CL:個|个[ge4]/
疯狂	/crazy; frenzied; wild/
否定	/to negate/to deny/to reject/negative (answer)/negation/
幅	/width/roll/classifier for textiles or pictures/
服装	/dress/clothing/costume/clothes/CL:身[shen1]/
辅导	/to give guidance/to mentor/to counsel/to coach/to tutor/
妇女	/woman/
改革	/reform/CL:次[ci4],種|种[zhong3],項|项[xiang4]/to reform/
改善	/to make better; to improve/CL:個|个[ge4]/
盖	/lid/top/cover/canopy/to cover/to conceal/to build/
概念	/concept/idea/CL:個|个[ge4]/
干脆	/candid/direct and to the point/simply/just/might as well/
干燥	/(of weather, climate, soil etc) dry; arid/(of skin, mouth etc) dry/(fig.) dull; dry; boring/(of timber etc) to dry out; to season; to cure/
感激	/to be grateful/to appreciate/thankful/
感受	/to sense/perception/to feel (through the senses)/to experience/a feeling/an impression/an experience/
赶紧	/hurriedly/without delay/
钢铁	/steel/
高档	/superior quality/high grade/top grade/
搞	/to do/to make/to go in for/to set up/to get hold of/to take care of/
格外	/especially/particularly/
个别	/individually; one by one/just one or two; exceptional; rare/
个性	/individuality/personality/
根	/root/basis/classifier for long slender objects, e.g. cigarettes, guitar strings/CL:條|条[tiao2]/radical (chemistry)/
公布	/to announce; to make public; to publish/
公元	/CE (Common Era)/Christian Era/AD (Anno Domini)/
公主	/princess/
工程师	/engineer/CL:個|个[ge4],位[wei4],名[ming2]/
工人	/worker/CL:個|个[ge4],名[ming2]/
恭喜	/to congratulate/(interj.) congratulations!/
贡献	/to contribute/to dedicate/to devote/contribution/CL:個|个[ge4]/
构成	/to constitute/to form/to compose/to make up/to configure (computing)/
姑姑	/paternal aunt/CL:個|个[ge4]/
古典	/classical/
鼓舞	/heartening (news)/to boost (morale)/CL:個|个[ge4]/
股票	/share certificate/stock (finance)/
固定	/to fix/to fasten/to set rigidly in place/fixed/set/regular/
挂号	/to register (at a hospital etc)/to send by registered mail/
拐弯	/to go round a curve/to turn a corner/fig. a new direction/
官	/government official/governmental/official/public/organ of the body/CL:個|个[ge4]/
关闭	/to close; to shut (a window etc)/(of a shop, school etc) to shut down/
观点	/point of view/viewpoint/standpoint/CL:個|个[ge4]/
管子	/tube/pipe/drinking straw/CL:根[gen1]/
光临	/(formal) to honor with one's presence/to attend/
光盘	/compact disc (CD); DVD; CD-ROM/CL:片[pian4],張|张[zhang1]/
广场	/public square; plaza/
广泛	/wide; broad; extensive; widespread/
规矩	/lit. compass and set square/fig. established standard/rule/customs/practices/fig. upright and honest/well-behaved/
规模	/scale/scope/extent/CL:個|个[ge4]/
归纳	/to sum up/to summarize/to conclude from facts/induction (method of deduction in logic)/
柜台	/variant of 櫃檯|柜台[gui4 tai2]/
锅	/pot; pan; wok; cauldron/pot-shaped thing/CL:口[kou3],隻|只[zhi1]/
国王	/king/CL:個|个[ge4]/
果然	/really/sure enough/as expected/if indeed/
过分	/excessive/undue/overly/
过期	/to be overdue/to exceed the time limit/to expire (as in expiration date)/
哈	/a Pekinese; a pug/(dialect) to scold/
海关	/customs (i.e. border crossing inspection)/CL:個|个[ge4]/
喊	/to yell/to shout/to call out for (a person)/
行业	/trade; profession; industry; business/
好客	/hospitality/to treat guests well/to enjoy having guests/hospitable/friendly/
和平	/peace/peaceful/
何况	/let alone/to say nothing of/besides/what's more/
合影	/to take a joint photo/group photo/
核心	/core; nucleus/
后果	/consequences/aftermath/
忽然	/suddenly; all of a sudden/
呼吸	/to breathe/
蝴蝶	/butterfly/CL:隻|只[zhi1]/
胡同	/variant of 胡同[hu2 tong4]/
华裔	/ethnic Chinese/non-Chinese citizen of Chinese ancestry/
滑	/to slip; to slide/slippery; smooth/sly; slippery; not to be trusted/
化学	/chemistry/chemical/
缓解	/to bring relief/to alleviate (a crisis)/to dull (a pain)/
幻想	/to fantasize; to imagine/an illusion; a fantasy/
挥	/to wave/to brandish/to command/to conduct/to scatter/to disperse/
灰尘	/dust/
恢复	/to reinstate/to resume/to restore/to recover/to regain/to rehabilitate/
汇率	/exchange rate/
婚姻	/marriage; matrimony/CL:樁|桩[zhuang1],次[ci4]/
火柴	/match (for lighting fire)/CL:根[gen1],盒[he2]/
激烈	/(of competition or fighting) intense/fierce/(of pain) acute/(of an expression of opinion) impassioned/vehement/(of a course of action) drastic/extreme/
肌肉	/muscle/flesh/
极其	/extremely/
集体	/collective (decision)/joint (effort)/a group/a team/en masse/as a group/
急忙	/hastily/
记录	/to record/record (written account)/note-taker/record (in sports etc)/CL:個|个[ge4]/
计算	/to count/to calculate/to compute/CL:個|个[ge4]/
系领带	to tie a necktie; wear a tie
纪律	/discipline/
寂寞	/lonely/lonesome/(of a place) quiet/silent/
家庭	/family/household/CL:戶|户[hu4],個|个[ge4]/
家乡	/hometown/native place/CL:個|个[ge4]/
夹子	/clip/clamp/tongs/folder/wallet/
假设	/to suppose/to presume/to assume/supposing that .../if/hypothesis/conjecture/
嫁	/(of a woman) to marry/to marry off a daughter/to shift (blame etc)/
价值	/value/worth/fig. values (ethical, cultural etc)/CL:個|个[ge4]/
肩膀	/shoulder/
坚决	/firm; resolute; determined/
艰巨	/arduous/terrible (task)/very difficult/formidable/
兼职	/to hold concurrent posts/concurrent job/moonlighting/
简历	/curriculum vitae (CV)/résumé/biographical notes/
剪刀	/scissors/CL:把[ba3]/
建立	/to establish/to set up/to found/
讲究	/to pay particular attention to/carefully selected for quality/tastefully chosen/
交际	/communication/social intercourse/
胶水	/glue/
狡猾	/crafty; cunning; sly/
教练	/instructor/sports coach/trainer/CL:個|个[ge4],位[wei4],名[ming2]/
接触	/to touch/to contact/access/in touch with/
接近	/to approach; to get close to/
阶段	/stage/section/phase/period/CL:個|个[ge4]/
戒指	/(finger) ring/
金属	/metal/CL:種|种[zhong3]/
进口	/to import/imported/entrance/inlet (for the intake of air, water etc)/
尽力	/to strive one's hardest; to spare no effort/
精力	/energy/
经商	/to trade/to carry out commercial activities/in business/
经营	/to engage in (business etc); to run; to operate/
酒吧	/bar/pub/saloon/CL:家[jia1]/
救护车	/ambulance/CL:輛|辆[liang4]/
居然	/unexpectedly/to one's surprise/go so far as to/
具体	/concrete; specific; detailed/
俱乐部	/club (the organisation or its premises) (loanword)/CL:個|个[ge4]/
据说	/it is said that; reportedly/
捐	/to relinquish; to abandon/to contribute; to donate/(bound form) tax; levy/
决心	/determination/resolution/determined/firm and resolute/to make up one's mind/CL:個|个[ge4]/
角色	/role; part (in a play or movie etc)/
均匀	/even/well-distributed/homogeneous/well-proportioned (figure, body etc)/
卡车	/truck/CL:輛|辆[liang4]/
开发	/to exploit (a resource); to open up (for development); to develop/
开幕式	/opening ceremony/
看望	/to pay a visit to; to see (sb)/
靠	/to lean against or on/to stand by the side of/to come near to/to depend on/to trust/to fuck (vulgar)/traditional military costume drama where the performers wear armor (old)/
颗	/classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc/
可靠	/reliable/
课程	/course/academic program/CL:堂[tang2],節|节[jie2],門|门[men2]/
克服	/(try to) overcome (hardships etc)/to conquer/to put up with/to endure/
刻苦	/hardworking/assiduous/
空间	/space; room/(fig.) scope; leeway/(astronomy) outer space/(physics, math.) space/
空闲	/leisure; spare time/(of a person) free; unoccupied/(of equipment, rooms etc) unoccupied; unused; idle; vacant; spare/
夸张	/to exaggerate/overstated; exaggerated/hyperbole/(coll.) excessive; ridiculous; outrageous/
会计	/accountant/accountancy/accounting/
宽	/wide/broad/loose/relaxed/lenient/
昆虫	/insect/CL:隻|只[zhi1],群[qun2],堆[dui1]/
拦	/to block sb's path/to obstruct/to flag down (a taxi)/
朗读	/to read aloud/
劳驾	/excuse me/
老百姓	/ordinary people/the "person in the street"/CL:個|个[ge4]/
老实	/honest; sincere/well-behaved/naive; gullible/
老婆	/(coll.) wife/
乐观	/optimistic; hopeful/
雷	/thunder/(bound form) (military) mine, as in 地雷[di4 lei2] land mine/(coll.) to shock; to stun; to astound/(Tw) (coll.) spoiler/(Tw) (coll.) to reveal plot details to (sb)/
类型	/type; kind; category/(computer programming) type/
冷淡	/cold/indifferent/
梨	/pear/CL:個|个[ge4]/
离婚	/to divorce/
厘米	/centimeter/
立即	/immediately/
利润	/profits/
利益	/benefit/(in sb's) interest/CL:個|个[ge4]/
连续	/continuous/in a row/serial/consecutive/
恋爱	/(romantic) love/CL:個|个[ge4],場|场[chang3]/in love/to have an affair/
良好	/good/favorable/well/fine/
粮食	/foodstuff/cereals/CL:種|种[zhong3]/
亮	/bright; light/to shine; to flash/loud and clear/to show (one's passport etc); to make public (one's views etc)/
铃	/(small) bell/CL:隻|只[zhi1]/
零件	/part/component/
零食	/between-meal nibbles/snacks/
领导	/lead/leading/to lead/leadership/leader/CL:位[wei4],個|个[ge4]/
流泪	/to shed tears/
陆续	/in turn/successively/one after the other/bit by bit/
录音	/to record (sound)/sound recording/CL:個|个[ge4]/
轮流	/to alternate; to take turns/
逻辑	/logic (loanword)/
馒头	/steamed bun/
毛病	/fault/defect/shortcomings/ailment/CL:個|个[ge4]/
矛盾	/contradiction/CL:個|个[ge4]/conflicting views/contradictory/
贸易	/(commercial) trade/CL:個|个[ge4]/
媒体	/media, esp. news media/
煤炭	/coal/
魅力	/charm/fascination/glamor/charisma/
梦想	/(fig.) to dream of/dream/
蜜蜂	/bee/honeybee/CL:隻|只[zhi1],群[qun2]/
密切	/close/familiar/intimate/closely (related)/to foster close ties/to pay close attention/
秘书	/secretary/
面积	/area (of a floor, piece of land etc)/surface area/tract of land/
描写	/to describe/to depict/to portray/description/
敏感	/sensitive/susceptible/
明星	/star; celebrity/
名片	/(business) card/
命运	/fate; destiny/CL:個|个[ge4]/
模仿	/to imitate/to copy/to emulate/to mimic/model/
模特	/(fashion) model (loanword)/
陌生	/strange/unfamiliar/
目前	/at the present time/currently/
难怪	/(it's) no wonder (that...)/(it's) not surprising (that)/
内部	/interior/inside (part, section)/internal/
嗯	/interjection indicating approval, appreciation or agreement/
念	/to read/to study (a subject)/to attend (a school)/to read aloud/to give (sb) a tongue-lashing (CL:頓|顿[dun4])/to miss (sb)/idea/remembrance/twenty (banker's anti-fraud numeral corresponding to 廿[nian4])/
浓	/concentrated/dense/strong (smell etc)/
农民	/peasant; farmer/
欧洲	/Europe (abbr. for 歐羅巴洲|欧罗巴洲[Ou1 luo2 ba1 Zhou1])/
偶然	/incidentally/occasional/occasionally/by chance/randomly/
拍	/to pat/to clap/to slap/to swat/to take (a photo)/to shoot (a film)/racket (sports)/beat (music)/
盼望	/to hope for; to look forward to/
培训	/to cultivate/to train/to groom/training/
佩服	/to admire/
盆	/basin/flower pot/unit of volume equal to 12 斗[dou3] and 8 升[sheng1], approx 128 liters/CL:個|个[ge4]/
碰	/old variant of 碰[peng4]/
批	/to ascertain/to act on/to criticize/to pass on/classifier for batches, lots, military flights/tier (for the ranking of universities and colleges)/
批准	/to approve; to ratify/
疲劳	/fatigue/wearily/weariness/weary/
匹	/variant of 匹[pi3]/classifier for cloth: bolt/
片	/thin piece/flake/a slice/film/TV play/to slice/to carve thin/partial/incomplete/one-sided/classifier for slices, tablets, tract of land, area of water/classifier for CDs, movies, DVDs etc/used with numeral 一[yi1]: classifier for scenario, scene, feeling, atmosphere, sound etc/Kangxi radical 91/
飘	/to float (in the air); to flutter; to waft/complacent; frivolous/weak; shaky; wobbly/
频道	/frequency/(television) channel/
凭	/to lean against/to rely on/on the basis of/no matter (how, what etc)/proof/
平安	/safe and sound/well/without mishap/quiet and safe/at peace/
平等	/equal/equality/
平衡	/balance/equilibrium/
平均	/average; on average/evenly; in equal proportions/
破产	/to go bankrupt/to become impoverished/bankruptcy/
迫切	/urgent; pressing/
期间	/period of time/time/time period/period/CL:個|个[ge4]/
其余	/the rest/the others/remaining/remainder/apart from them/
企业	/company; firm; enterprise; corporation/CL:家[jia1]/
前途	/prospects/future outlook/journey/
欠	/to owe/to lack/(literary) to be deficient in/(bound form) yawn/to raise slightly (a part of one's body)/
墙	/wall (CL:面[mian4],堵[du3])/(slang) to block (a website) (usu. in the passive: 被牆|被墙[bei4 qiang2])/
强烈	/strong; intense/
切	/definitely; absolutely (not)/(scoffing or dismissive interjection) Yeah, right.; Tut!/to grind/(bound form) close to/(bound form) eager/to correspond to/(used to indicate that the fanqie 反切[fan3 qie4] system should be applied to the previous two characters)/
亲自	/personally/in person/oneself/
青	/green/blue/black/youth/young (of people)/
青少年	/adolescent/youth/teenager/
轻易	/easy; simple/rashly; offhandedly/
清淡	/light (of food, not greasy or strongly flavored)/insipid/slack (sales)/
情景	/scene; spectacle/circumstances; situation/
情绪	/mood/state of mind/moodiness/CL:種|种[zhong3]/
庆祝	/to celebrate/
娶	/to take a wife/to marry (a woman)/
取消	/to cancel/cancellation/
圈	/circle; ring; loop (CL:個|个[ge4])/classifier for loops, orbits, laps of race etc/to surround; to circle/
全面	/all-around/comprehensive/total/overall/
权利	/right (i.e. an entitlement to sth)/(classical) power and wealth/
确定	/definite/certain/fixed/to fix (on sth)/to determine/to be sure/to ensure/to make certain/to ascertain/to clinch/to recognize/to confirm/OK (on computer dialog box)/
热烈	/enthusiastic/ardent/warm/
人口	/population/people/
人民币	/Renminbi (RMB)/Chinese Yuan (CNY)/
人事	/personnel/human resources/human affairs/ways of the world/(euphemism) sexuality/the facts of life/
人员	/staff/crew/personnel/CL:個|个[ge4]/
日常	/day-to-day; daily; everyday/
日期	/date/CL:個|个[ge4]/
日子	/day/a (calendar) date/days of one's life/
如今	/nowadays; now/
软	/variant of 軟|软[ruan3]/
弱	/weak; feeble/young/inferior; not as good as/(following a decimal or fraction) slightly less than/
色彩	/tint; coloring; coloration/(fig.) flavor; character/
杀	/to kill; to slay; to murder; to attack/to weaken; to reduce/(dialect) to smart/(used after a verb) extremely/
沙漠	/desert/CL:個|个[ge4]/
傻	/foolish/
删除	/to delete/to cancel/
善良	/good and honest/kindhearted/
扇子	/fan/CL:把[ba3]/
商业	/business/trade/commerce/
上当	/taken in (by sb's deceit)/to be fooled/to be duped/
蛇	/snake/serpent/CL:條|条[tiao2]/
设备	/equipment; facilities; installations/CL:個|个[ge4]/
设施	/facilities/installation/
射击	/to shoot; to fire (a gun)/
身材	/stature/build (height and weight)/figure/
神话	/legend/fairy tale/myth/mythology/
升	/variant of 升[sheng1]/
生产	/to produce; to manufacture/to give birth to a child/
声调	/tone/note/a tone (on a Chinese syllable)/CL:個|个[ge4]/
绳子	/cord; string; rope/CL:條|条[tiao2]/
省略	/to leave out/an omission/
胜利	/victory/CL:個|个[ge4]/
失去	/to lose/
失业	/unemployment/to lose one's job/
湿润	/moist/
时差	/time difference/time lag/jet lag/
时刻	/time/juncture/moment/period of time/CL:個|个[ge4],段[duan4]/constantly/always/
